dataset,method,em_mean,em_std,em_ci_lo,em_ci_hi,f1_mean,f1_std,f1_ci_lo,f1_ci_hi,sf_em,sf_f1,latency_mean_s,throughput_sps
hotpotqa,direct,0.436,0.4959,0.392,0.48,0.5684,0.4402,0.5292,0.6108,0.0,0.0,0.331,3.02
hotpotqa,cot,0.472,0.4992,0.43,0.518,0.6022,0.4392,0.5647,0.6406,0.0,0.0,0.664,1.51
hotpotqa,self_consistency,0.494,0.5,0.454,0.538,0.6314,0.4269,0.5945,0.6696,0.0,0.0,1.6499,0.61
hotpotqa,tot,0.338,0.473,0.3,0.378,0.4924,0.421,0.4565,0.5279,0.0,0.0,0.7258,1.38
hotpotqa,antahkarana,0.452,0.4977,0.414,0.494,0.588,0.4389,0.5537,0.6282,0.042,0.3968,0.2996,3.34
mmlu,direct,0.652,0.4763,0.6119,0.696,0.652,0.4763,0.6119,0.696,N/A,N/A,0.0514,19.44
mmlu,cot,0.706,0.4556,0.668,0.746,0.706,0.4556,0.668,0.746,N/A,N/A,0.4299,2.33
mmlu,self_consistency,0.736,0.4408,0.698,0.776,0.736,0.4408,0.698,0.776,N/A,N/A,1.7827,0.56
mmlu,tot,0.714,0.4519,0.674,0.752,0.714,0.4519,0.674,0.752,N/A,N/A,0.5594,1.79
mmlu,antahkarana,0.668,0.4709,0.628,0.708,0.668,0.4709,0.628,0.708,N/A,N/A,0.3913,2.56
truthfulqa,direct,0.016,0.1255,0.006,0.028,0.1674,0.2134,0.1497,0.186,N/A,N/A,0.0314,31.83
truthfulqa,cot,0.024,0.153,0.012,0.038,0.2638,0.2509,0.2428,0.2855,N/A,N/A,0.2817,3.55
truthfulqa,self_consistency,0.032,0.176,0.018,0.046,0.2587,0.2595,0.2362,0.2812,N/A,N/A,1.2765,0.78
truthfulqa,tot,0.034,0.1812,0.02,0.05,0.3272,0.2723,0.3045,0.3514,N/A,N/A,0.3994,2.5
truthfulqa,antahkarana,0.034,0.1812,0.018,0.05,0.2671,0.2458,0.2446,0.2894,N/A,N/A,0.391,2.56
fever,direct,0.494,0.5,0.448,0.542,0.494,0.5,0.448,0.542,N/A,N/A,0.028,35.74
fever,cot,0.122,0.3273,0.094,0.15,0.122,0.3273,0.094,0.15,N/A,N/A,0.267,3.74
fever,self_consistency,0.1,0.3,0.072,0.126,0.1,0.3,0.072,0.126,N/A,N/A,0.9421,1.06
fever,tot,0.166,0.3721,0.134,0.198,0.166,0.3721,0.134,0.198,N/A,N/A,0.3326,3.01
fever,antahkarana,0.428,0.4948,0.386,0.474,0.428,0.4948,0.386,0.474,N/A,N/A,0.3764,2.66
svamp,direct,0.664,0.4723,0.624,0.706,0.664,0.4723,0.624,0.706,N/A,N/A,0.0298,33.59
svamp,cot,0.9,0.3,0.874,0.924,0.9,0.3,0.874,0.924,N/A,N/A,0.2362,4.23
svamp,self_consistency,0.916,0.2774,0.89,0.938,0.916,0.2774,0.89,0.938,N/A,N/A,0.8952,1.12
svamp,tot,0.922,0.2682,0.898,0.944,0.922,0.2682,0.898,0.944,N/A,N/A,0.4252,2.35
svamp,antahkarana,0.93,0.2551,0.908,0.952,0.93,0.2551,0.908,0.952,N/A,N/A,0.3779,2.65
